Day,Weekday,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8
1,2,Belle,Cinderella,Dora,Elsa,Anna,,,
2,3,Belle,Cinderella,Elsa,Anna,Dora,,,
3,4,Belle,Cinderella,Dora,Elsa,Anna,,,
4,5,Cinderella,Dora,Elsa,Anna,Belle,,,
5,6,Anna,Belle,X,X,X,Cinderella,Dora,Elsa,
6,7,None,None,None,None,None,,,
7,1,Dora,Elsa,Anna,Belle,Cinderella,,,
8,2,Belle,Dora,Anna,Cinderella,Elsa,,,
9,3,Belle,Cinderella,Anna,Dora,Elsa,,,
10,4,Dora,Elsa,Cinderella,Belle,Anna,,,
11,5,Elsa,Dora,Cinderella,Anna,Belle,,,
12,6,Cinderella,Dora,X,X,X,Anna,Elsa,Belle,
13,7,None,None,None,None,None,,,
14,1,Dora,Elsa,Anna,Belle,Cinderella,,,
15,2,Elsa,Dora,Anna,Cinderella,Belle,,,
16,3,Cinderella,Dora,Elsa,Anna,Belle,,,
17,4,Cinderella,Dora,Elsa,Anna,Belle,,,
18,5,Dora,Elsa,Anna,Cinderella,Belle,,,
19,6,Elsa,Anna,X,X,X,Belle,Cinderella,Dora,
20,7,None,None,None,None,None,,,
21,1,Dora,Cinderella,Belle,Anna,Elsa,,,
22,2,Elsa,Dora,Anna,Cinderella,Belle,,,
23,3,Elsa,Dora,Anna,Cinderella,Belle,,,
24,4,Cinderella,Dora,Elsa,Belle,Anna,,,
25,5,Elsa,Belle,Cinderella,Anna,Dora,,,
26,6,Dora,Belle,X,X,X,Cinderella,Anna,Elsa,
27,7,None,None,None,None,None,,,
28,1,Cinderella,Dora,Elsa,Anna,Belle,,,
29,2,Elsa,Cinderella,Anna,Belle,Dora,,,
30,3,Belle,Elsa,Anna,Cinderella,Dora,,,
31,4,Anna,Belle,Cinderella,Dora,Elsa,,,
